"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"d18Of[1]",-2.78056338902647,0.0697849000195188,-2.91321489713021,-2.8273075291501,-2.78237629612242,-2.73359766519403,-2.64185181887569,1.00151844643032,4900
"d18Of[2]",-2.62407956263249,0.0655021780282475,-2.75477481775467,-2.66698334782466,-2.62416495195655,-2.58008542436577,-2.49678330826996,1.00111758091693,8100
"d18Of[3]",-2.82356951550142,0.0646052268847363,-2.95087478234694,-2.86699457777251,-2.82384265204267,-2.78015996618637,-2.69650809028171,1.00113915242565,7800
"d18Of[4]",-2.86513311106246,0.0690317342618132,-3.00025284433907,-2.91211676230048,-2.86535612683931,-2.81750250095227,-2.73153590360897,1.00118918806008,7200
"d18Of[5]",-2.87147297463701,0.077138336146192,-3.02163596789705,-2.9231271556885,-2.87163646892146,-2.82043061529699,-2.71867509590243,1.001225521157,6900
"d18Of[6]",-2.45442783564677,0.0728038457485524,-2.59895469999219,-2.50367446574008,-2.45332417714239,-2.40627144684781,-2.31186720213452,1.00080071612717,9000
"d18Of[7]",-2.72636561718972,0.0730023045060436,-2.86896732156069,-2.77631307351781,-2.7276153980034,-2.67664274825662,-2.58454641578121,1.00074706517447,9000
"d18Of[8]",-2.95297294344175,0.0773342493804179,-3.10492155273629,-3.00657602341319,-2.95291309646041,-2.89979308234833,-2.80181593037694,1.00117313914742,7400
"d18Of[9]",-2.96909231712431,0.0741381809151028,-3.11500580260906,-3.01938689277457,-2.96993203911202,-2.91900507718097,-2.82297740785618,1.00165534745462,4300
"d18Of[10]",-3.26545352824296,0.0767501136508848,-3.41144296929783,-3.31783316186091,-3.26559720559774,-3.21436614622472,-3.11571029160207,1.00085669105585,9000
"d18Of[11]",-3.56711800802757,0.0738320827406344,-3.71117965658466,-3.61697951874338,-3.56634365127457,-3.5183086629849,-3.42288196740166,1.00121709598616,7000
"d18Of[12]",-3.83150794820934,0.0743654054430377,-3.97721760448698,-3.88166041917581,-3.831743212055,-3.78228571633826,-3.6834272953105,1.00079721784574,9000
"d18Of[13]",-3.38451098248597,0.075251393933608,-3.53460327962842,-3.43477326777196,-3.384299525648,-3.33413506395188,-3.23810195222689,1.00081013271624,9000
"d18Of[14]",-3.3295909597366,0.0733695308621757,-3.4763077487532,-3.37818175843491,-3.32785167023982,-3.28102233285351,-3.18668185188497,1.00131276535896,6100
"d18Of[15]",-3.33067417713159,0.0744314464085675,-3.47634181031214,-3.38049289197832,-3.33091172278284,-3.27985746974836,-3.18768729449211,1.00159645645069,4600
"d18Of[16]",-3.43811682381002,0.0751720690126275,-3.58596804368194,-3.48899453785916,-3.43829772542617,-3.38752918832036,-3.29076192785967,1.00090692986425,9000
"d18Of[17]",-3.92658203033853,0.0683347774782122,-4.06150479438254,-3.972056855967,-3.92671931258434,-3.87984147980409,-3.79233764716059,1.00062086613408,9000
"d18Of[18]",-3.80684724351062,0.0678605590242418,-3.93720256656824,-3.85310158265501,-3.80729849564422,-3.76159225183912,-3.67252672753143,1.0012456050245,6700
"d18Of[19]",-3.83404819842126,0.073858315764948,-3.97944581868375,-3.88375435024317,-3.8340780782917,-3.78354385358365,-3.68930586718202,1.0008739569983,9000
"d18Of[20]",-3.58387293984813,0.0712617514803053,-3.72449373660131,-3.63264643035661,-3.58382959180672,-3.53536050075861,-3.44545346464976,1.00082106266048,9000
"d18Of[21]",-3.69260922823177,0.0709243780529379,-3.83227958772942,-3.74080313007486,-3.69236218584605,-3.64459774032459,-3.55501575363532,1.00071987151877,9000
"d18Of[22]",-3.55097929069609,0.0748726773093537,-3.69504566925601,-3.60291204696919,-3.55113108055522,-3.49990453223929,-3.40396099670952,1.00076924864804,9000
"d18Of[23]",-3.26211377037109,0.0752835989537643,-3.41259448861014,-3.31192597738875,-3.26316202054161,-3.21181538821986,-3.11456168631127,1.00101820103913,9000
"d18Of[24]",-3.43679979771846,0.0770696717102095,-3.58784076699492,-3.48879391379065,-3.43699817329894,-3.38579002533494,-3.28468203958015,1.00111227398453,8100
"d18Of[25]",-2.80982413607623,0.0773826857273656,-2.96265042252033,-2.86116305572258,-2.80915356758176,-2.75720518647835,-2.65745731599507,1.00079883280075,9000
